PCA1,PCA2,Category
0.83213 ,-0.93150 ,正常合闸
0.82329 ,-0.83475 ,正常合闸
0.83750 ,-0.74511 ,正常合闸
0.83214 ,-0.37919 ,正常合闸
0.83742 ,-0.63880 ,正常合闸
0.83893 ,-0.72565 ,正常合闸
0.84272 ,-0.91438 ,正常合闸
0.83222 ,-0.85829 ,正常合闸
0.85019 ,-0.71117 ,正常合闸
0.84268 ,-0.72953 ,正常合闸
0.83465 ,-0.74163 ,正常合闸
-2.13943 ,0.83964 ,正常分闸
-2.55979 ,0.81801 ,正常分闸
-2.27565 ,0.84592 ,正常分闸
-2.97310 ,0.83142 ,正常分闸
-2.41640 ,0.80712 ,正常分闸
-2.40489 ,0.81463 ,正常分闸
-2.40360 ,0.88526 ,正常分闸
-2.05319 ,0.88501 ,正常分闸
-2.54188 ,0.85612 ,正常分闸
-2.57717 ,0.82126 ,正常分闸
-0.92595 ,1.79500 ,分闸不彻底
-0.91057 ,1.71860 ,分闸不彻底
-0.92183 ,1.72999 ,分闸不彻底
-0.91479 ,1.79015 ,分闸不彻底
-0.95243 ,1.75164 ,分闸不彻底
-0.95408 ,1.76177 ,分闸不彻底
-0.91300 ,1.75767 ,分闸不彻底
-0.98579 ,1.77825 ,分闸不彻底
-0.91116 ,1.80599 ,分闸不彻底
-0.99220 ,1.76159 ,分闸不彻底
-0.90809 ,1.76275 ,分闸不彻底
-3.20603 ,-0.28465 ,虚假合闸
-3.07849 ,-0.24203 ,虚假合闸
-3.17091 ,-0.29492 ,虚假合闸
-2.96813 ,-0.22822 ,虚假合闸
-2.90676 ,-0.28552 ,虚假合闸
-2.82683 ,-0.25017 ,虚假合闸
-2.96122 ,-0.21809 ,虚假合闸
-2.91661 ,0.26265 ,虚假合闸
-2.91278 ,-0.20522 ,虚假合闸
-2.93333 ,-0.28797 ,虚假合闸
-2.96510 ,-0.28821 ,虚假合闸
-2.31242 ,-0.70506 ,储能弹簧卡涩
-2.48319 ,-0.73749 ,储能弹簧卡涩
-2.41031 ,-0.71442 ,储能弹簧卡涩
-2.22498 ,-0.74231 ,储能弹簧卡涩
-2.40806 ,-0.77583 ,储能弹簧卡涩
-2.45947 ,-0.74710 ,储能弹簧卡涩
-2.45361 ,-0.72740 ,储能弹簧卡涩
-2.48676 ,-0.77872 ,储能弹簧卡涩
-2.42670 ,-0.73372 ,储能弹簧卡涩
-2.48195 ,-0.76136 ,储能弹簧卡涩
-2.46447 ,-0.39984 ,储能弹簧卡涩
-0.72128 ,-0.36340 ,操作机构卡涩
2.72987 ,-0.31985 ,操作机构卡涩
2.28148 ,-0.34256 ,操作机构卡涩
2.87441 ,-0.32922 ,操作机构卡涩
2.81251 ,-0.37030 ,操作机构卡涩
2.80852 ,-0.39276 ,操作机构卡涩
2.88967 ,-0.39144 ,操作机构卡涩
2.86723 ,-0.36087 ,操作机构卡涩
2.87112 ,-0.34451 ,操作机构卡涩
2.88095 ,-0.36371 ,操作机构卡涩
6.13205 ,-0.92456 ,合闸螺栓松动
6.11357 ,-0.86072 ,合闸螺栓松动
6.13801 ,-0.91246 ,合闸螺栓松动
6.42136 ,-0.92955 ,合闸螺栓松动
6.63766 ,-0.90875 ,合闸螺栓松动
6.74642 ,-0.94441 ,合闸螺栓松动
6.72973 ,-0.99441 ,合闸螺栓松动
6.22904 ,-0.98085 ,合闸螺栓松动
6.62335 ,-0.95427 ,合闸螺栓松动
-3.68766 ,-0.82296 ,分闸螺栓松动
-3.93431 ,-0.88836 ,分闸螺栓松动
-3.07972 ,-0.85009 ,分闸螺栓松动
-3.11812 ,-0.85747 ,分闸螺栓松动
-3.17477 ,-0.86603 ,分闸螺栓松动
-3.83423 ,-0.64269 ,分闸螺栓松动
-3.19605 ,-0.78695 ,分闸螺栓松动
-3.86613 ,-0.88643 ,分闸螺栓松动
-3.67731 ,-0.78627 ,分闸螺栓松动
-3.66784 ,-0.73694 ,分闸螺栓松动
